,iso_code,location,date,total_cases,total_deaths
0,ABW,Aruba,2020-03-13,2,0
1,ABW,Aruba,2020-03-20,4,0
2,ABW,Aruba,2020-03-24,12,0
3,ABW,Aruba,2020-03-25,17,0
4,ABW,Aruba,2020-03-26,19,0
5,ABW,Aruba,2020-03-27,28,0
6,ABW,Aruba,2020-03-28,28,0
7,ABW,Aruba,2020-03-29,28,0
8,ABW,Aruba,2020-03-30,50,0
9,ABW,Aruba,2020-04-01,55,0
10,ABW,Aruba,2020-04-02,55,0
11,ABW,Aruba,2020-04-03,60,0
12,ABW,Aruba,2020-04-04,62,0
13,ABW,Aruba,2020-04-05,64,0
14,ABW,Aruba,2020-04-06,64,0
15,ABW,Aruba,2020-04-07,71,0
16,ABW,Aruba,2020-04-08,74,0
17,ABW,Aruba,2020-04-09,77,0
18,ABW,Aruba,2020-04-10,82,0
19,ABW,Aruba,2020-04-11,86,0
20,ABW,Aruba,2020-04-12,92,0
21,ABW,Aruba,2020-04-13,92,0
22,ABW,Aruba,2020-04-14,92,0
23,ABW,Aruba,2020-04-15,92,0
24,ABW,Aruba,2020-04-16,93,1
25,ABW,Aruba,2020-04-17,95,1
26,ABW,Aruba,2020-04-18,96,2
27,ABW,Aruba,2020-04-19,96,2
28,ABW,Aruba,2020-04-20,97,2
29,ABW,Aruba,2020-04-21,97,2
30,ABW,Aruba,2020-04-22,97,2
31,ABW,Aruba,2020-04-23,100,2
32,ABW,Aruba,2020-04-24,100,2
33,ABW,Aruba,2020-04-25,100,2
34,ABW,Aruba,2020-04-26,100,2
35,ABW,Aruba,2020-04-27,100,2
36,ABW,Aruba,2020-04-28,100,2
37,ABW,Aruba,2020-04-29,100,2
38,ABW,Aruba,2020-04-30,100,2
39,ABW,Aruba,2020-05-01,100,2
40,ABW,Aruba,2020-05-02,100,2
41,ABW,Aruba,2020-05-03,100,2
42,ABW,Aruba,2020-05-04,100,2
43,ABW,Aruba,2020-05-05,100,2
44,ABW,Aruba,2020-05-06,100,2
45,ABW,Aruba,2020-05-07,101,2
46,ABW,Aruba,2020-05-08,101,3
47,ABW,Aruba,2020-05-09,101,3
48,ABW,Aruba,2020-05-10,101,3
49,ABW,Aruba,2020-05-11,101,3
50,ABW,Aruba,2020-05-12,101,3
51,ABW,Aruba,2020-05-13,101,3
52,ABW,Aruba,2020-05-14,101,3
53,ABW,Aruba,2020-05-15,101,3
54,ABW,Aruba,2020-05-16,101,3
55,ABW,Aruba,2020-05-17,101,3
56,AFG,Afghanistan,2019-12-31,0,0
57,AFG,Afghanistan,2020-01-01,0,0
58,AFG,Afghanistan,2020-01-02,0,0
59,AFG,Afghanistan,2020-01-03,0,0
60,AFG,Afghanistan,2020-01-04,0,0
61,AFG,Afghanistan,2020-01-05,0,0
62,AFG,Afghanistan,2020-01-06,0,0
63,AFG,Afghanistan,2020-01-07,0,0
64,AFG,Afghanistan,2020-01-08,0,0
65,AFG,Afghanistan,2020-01-09,0,0
66,AFG,Afghanistan,2020-01-10,0,0
67,AFG,Afghanistan,2020-01-11,0,0
68,AFG,Afghanistan,2020-01-12,0,0
69,AFG,Afghanistan,2020-01-13,0,0
70,AFG,Afghanistan,2020-01-14,0,0
71,AFG,Afghanistan,2020-01-15,0,0
72,AFG,Afghanistan,2020-01-16,0,0
73,AFG,Afghanistan,2020-01-17,0,0
74,AFG,Afghanistan,2020-01-18,0,0
75,AFG,Afghanistan,2020-01-19,0,0
76,AFG,Afghanistan,2020-01-20,0,0
77,AFG,Afghanistan,2020-01-21,0,0
78,AFG,Afghanistan,2020-01-22,0,0
79,AFG,Afghanistan,2020-01-23,0,0
80,AFG,Afghanistan,2020-01-24,0,0
81,AFG,Afghanistan,2020-01-25,0,0
82,AFG,Afghanistan,2020-01-26,0,0
83,AFG,Afghanistan,2020-01-27,0,0
84,AFG,Afghanistan,2020-01-28,0,0
85,AFG,Afghanistan,2020-01-29,0,0
86,AFG,Afghanistan,2020-01-30,0,0
87,AFG,Afghanistan,2020-01-31,0,0
88,AFG,Afghanistan,2020-02-01,0,0
89,AFG,Afghanistan,2020-02-02,0,0
90,AFG,Afghanistan,2020-02-03,0,0
